ID,Registration Date,First name,Last name,Email Address,Job,Other Job,Job position,Organization,Other organization,Skills or Expertise,Years of experience in artificial intelligence,Years of healthcare experience
1,9-14-2021 8:57:03,John,Owens,john.smith@example.com,Researchers,,Postdoc,TELUQ University,,Application of AI to health data,5,5
2,9-14-2021 10:23:12,Sarah,Smith,sarah.johnson@example.com,Researchers,,Doctor,Other,,High performance computing and numerical linear algebra,2,2
3,9-14-2021 10:28:57,Michael,Johnson,michael.williams@example.com,Researchers,,Ph.D.,"CRCHUM - Research center of the hospital center of the University of Montreal, IVADO- Institute of Data Valorization, UDEM- University of Montreal",,Artificial intelligence and neuroscience,9,13
4,9-28-2021 19:53:58,Emily,Williams,emily.brown@example.com,/,,Research coordinator,CHUM - Hospital Center of the University of Montreal,,"Statistics, databases, clinical research",1,10
5,9-28-2021 19:58:56,David,Brown,david.jones@example.com,Students,,PhD,"CRCHUM - Research center of the University of Montreal hospital center, Polytechnique Montr�al",,Machine and deep learning in neuroscience,4,4
6,9-28-2021 20:08:49,Jessica,Jones,jessica.taylor@example.com,Research professionals,,UETMIS,CHUM - Hospital Center of the University of Montreal,,Implementation of AI technologies,3,10
7,9-28-2021 20:13:55,Ryan,Taylor,ryan.miller@example.com,Researchers,,Regular/Professor,CRCHUSJ - Research Center of the Sainte Justine Hospital Center,,AI from physiological sensors/human movement,4,12
8,9-28-2021 20:17:21,Amanda,Miller,amanda.anderson@example.com,Research professionals,,Research assistant/teacher,"CRCHUM - Research center of the hospital center of the University of Montreal, TELUQ University",,Statistical/machine learning,0,3
9,9-28-2021 20:21:08,Daniel,Anderson,daniel.thomas@example.com,Industrial,,Strategy & Innovation Director,Other,Logibec,Digital Transformation and AI,5,15
10,9-28-2021 20:22:40,Laura,Thomas,laura.jackson@example.com,Students,,Mastery,"CRCHUM - Research center of the University of Montreal hospital center, Polytechnique Montreal",,Deep learning on medical and histopathological images,3,5
11,9-28-2021 20:23:50,Jason,Jackson,jason.white@example.com,Research professionals,Administrator,,"CRCHUM - Research Center of the University of Montreal Hospital Center, CHUM- University of Montreal Hospital Center",,Ethics and Management,0,10
12,9-28-2021 20:27:29,Jennifer,White,jennifer.harris@example.com,Other,IT analyst,IT analyst,CRCHUM - Research center of the hospital center of the University of Montreal,,"Bioinformatics, NGS, Data science",1,3
13,9-28-2021 20:30:44,Andrew,Harris,andrew.martin@example.com,Industrial,,Business intelligence analyst,Other,TBS,AI student,1,0
14,9-28-2021 21:03:51,Natalie,Martin,natalie.thompson@example.com,Other,Acting Director,Acting Director,MSSS - Ministry of Health and Social Services,,Management,5,30
15,9-28-2021 21:09:44,Matthew,Thompson,matthew.garcia@example.com,Research professionals,,Senior Research Advisor,"Digital Health Consortium, IVADO- Data Valorization Institute, UDEM- University of Montreal",,Machine learning & genomics,1,6
16,9-28-2021 21:15:05,Alexandra,Garcia,alexandra.martinez@example.com,Research professionals,,Biostatistician,CRCHUM - Research center of the hospital center of the University of Montreal,,"Biostatistics, prediction, clinical research",1,8
17,9-28-2021 21:24:55,Kevin,Martinez,kevin.clark@example.com,Other,Analyst Programmer,Analyst Programmer,University of Ottawa,,AI student,1,0
18,9-28-2021 21:26:20,Samantha,Clark,samantha.lewis@example.com,Research professionals,,Senior Research Advisor,"Digital Health Consortium, UDEM- University of Montreal",,"Health data sciences, computational psychiatry",5,10
19,9-28-2021 21:40:15,William,Lewis,william.lee@example.com,Research professionals,,Senior Research Advisor,"IA - Agrohealth Platform, UDEM - University of Montreal, FMV - Faculty of Veterinary Medicine",,"statistics, comics, machine learning",6,12
20,9-28-2021 21:41:29,Olivia,Lee,olivia.walker@example.com,Research professionals,,Senior Research Advisor,"IA - Agrohealth Platform, UDEM - University of Montreal, FMV - Faculty of Veterinary Medicine",,"AI, Machine Learning, cloud, data",7,1
21,9-28-2021 22:13:40,Brian,Walker,brian.hall@example.com,Students,,Mastery,LIO - Imaging and Orthopedics Research Laboratory,,General engineering,2,2
22,9-29-2021 8:24:08,Stephanie,Lobby,stephanie.young@example.com,Students,,postdoctoral fellow,"CRCHUM - Research Center of the University of Montreal Hospital Center, UDEM- University of Montreal",,"Cardiovascular imaging (echocardiography), heart disease (valvular disease, amyloidosis)",0,8
23,9-29-2021 8:26:02,Robert,Young,robert.allen@example.com,Researchers,,post doctoral,LIO - Imaging and Orthopedics Research Laboratory,,"I have been working in AI for a few months. My projects and areas of application are centered on medical imaging (classification, segmentation).",1,6
25,9-29-2021 12:18:07,Nicole,Allen,nicole.wright@example.com,Students,Researchers,MD student,UDEM - University of Montreal,,"Master's degree in Computer Science, programming skills",3,1
26,9-29-2021 12:18:38,James,Wright,james.king@example.com,Students,,Mastery,CRCHUM - Research center of the hospital center of the University of Montreal,,Detection of epileptic seizures,1,5
28,9-30-2021 7:55:59,Lauren,King,lauren.scott@example.com,Research professionals,,Medical Data Science Program Coordinator,CRCHUM - Research center of the hospital center of the University of Montreal,,"Bioinformatics, data science, genomics",4,16
29,9-30-2021 11:20:39,Christopher,Scott,christopher.green@example.com,Students,,3rd year medical student,"CRCHUM - Research Center of the University of Montreal Hospital Center, UDEM- University of Montreal",,Intermediate knowledge of machine learning,1,3
30,9-30-2021 12:58:31,Rachael,Green,rachel.baker@example.com,Other,Manager in the health network,executive consultant in material resources management,CHUM - Hospital Center of the University of Montreal,CHUM,debutante,0,35
31,9-30-2021 15:03:17,Thomas,Baker,thomas.adams@example.com,Other,Pedagogy,Learning advisor - technopedagogue,EIAS - School of Artificial Intelligence in Health,Canadian Cancer Society,"Pedagogy, digital transformation, training creation, eLearning",,
32,9-30-2021 17:02:38,Melissa,Adams,melissa.nelson@example.com,Other,"CRCHUM co-researcher and innovation advisor, Innovation and AI center (DG)","CRCHUM co-researcher and innovation advisor, Innovation and AI center (DG)","CRCHUM - Research Center of the University of Montreal Hospital Center, CHUM- University of Montreal Hospital Center",CHUM,"Beginner in AI (rather theoretical knowledge, but not practical). Good mastery of project management approaches, collaborative design, health innovation. Qualitative research, scientific writing, animation.",1,5
33,10-1-2021 5:00:41,Joseph,Nelson,joseph.hill@example.com,Students,,Medical student (5th year),"CRCHUSJ - Research Center of the Sainte Justine Hospital Center, Other",Faculty of Health of Angers (France),"New to IT (basic programming skills (Python, R)) Strong interest in the subject nonetheless",0,5
